"Airline","Comments","Country","ICAO","Call sign"
"Interjet Inc.","2015","United States","IJW","JET WEST"
"Inter Island Air Charter","2014","Bahamas","IIC",""
"Island Air Express","2014","United States","EXP","ISLAND EXPRESS"
"Island Wings","2014","Bahamas","IWL",""
"Ikar","","Russian Federation","KAR","IKAR"
"Iconair","","Pakistan","ICN",""
"Interaviation Charter","","Romania","IAC","INTERCHARTER"
"Ifly","","Greece","IFM","ICOPTER"
"International Air Carrier Association","","Belgium","ITC",""
"IBC Airways","","United States","CSQ","CHASQUI"
"IBL Aviation","","Mauritius","IBL","CATOVAIR"
"IBM Euroflight Operations","","Switzerland","BBL","BLUE"
"ICAO","Used by airlines without a specific code","","YYY",""
"Independent Carrier (ICAR)","","Ukraine","IPR","ICAR"
"ICC Canada","","Canada","CIC","AIR TRADER"
"IDG Technology Air","","Czech Republic","IDG","INDIGO"
"IFL Group","","United States","IFL","EIFEL"
"II Lione Alato Arl","","United Kingdom","RDE","FLIGHT RED"
"IJM International Jet Management","","Austria","IJM","JET MANAGEMENT"
"IKI International Airlines","","Japan","IKK","IKIAIR"
"IKON FTO","","Germany","IKN","IKON"
"IMP Aviation Services","","Canada","BLU","BLUENOSE"
"IMP Group Aviation Services","","Canada","XGG",""
"INFINI Travel Information","Computer Reservation System","Japan","",""
"IPEC Aviation","","Australia","IPA","IPEC"
"IPM Europe","","United Kingdom","IPM","SHIPEX"
"IRS Airlines","","Nigeria","LVB","SILVERBIRD"
"ISD Avia","","Ukraine","ISD","ISDAVIA"
"ITA Software","Computer reservation system","United States","",""
"IVV Femida","","Russia","FDF",""
"Iberia Airlines","","Spain","IBE","IBERIA"
"Iberia Express","Charter service, low cost carrier for EU flights of Iberia operating only A320's","Spain","IBS","IBEREXPRESS"
"Ibertour Servicios Aéreos","","Spain","IBR","IBERTOUR"
"Ibertrans Aérea","","Spain","IBT","IBERTRANS"
"Iberworld","","Spain","IWD","IBERWORLD"
"Ibex Airlines","","Japan","IBX","IBEX"
"Ibicenca Air","","Spain","IBC","IBICENCA"
"Ibk-Petra","","Sudan","AKI",""
"Icar Air","","Bosnia and Herzegovina","RAC","TUZLA AIR"
"Icare Franche Compte","","France","FRC","FRANCHE COMPTE"
"Icaro Air","Defunct 2011","Ecuador","ICD","ICARO"
"Icaro","","Italy","ICA","ICARFLY"
"Icarus","","Italy","IUS","ICARUS"
"Icejet","","Iceland","ICJ","ICEJET"
"Icelandair","","Iceland","ICE","ICEAIR"
"Icelandic Coast Guard","","Iceland","ICG","ICELAND COAST"
"Ikaros DK","","Denmark","IKR","IKAROS"
"Il Ciocco International Travel Service","","Italy","CIO","CIOCCO"
"Il-Avia","","Russia","ILV","ILAVIA"
"Ildefonso Redriguez","","Mexico","IDL","ILDEFONSO"
"Iliamna Air Taxi","","United States","IAR","ILIAMNA AIR"
"Ilpo Aruba Cargo","","Aruba","ILP",""
"Ilyich-Avia","","Ukraine","ILL","ILYICHAVIA"
"Imaer","","Portugal","IMR","IMAER"
"Imair Airlines","","Azerbaijan","ITX","IMPROTEX"
"Imperial Airways","","United States","PNX","PHOENIX"
"Imtrec Aviation","","Cambodia","IMT","IMTREC"
"Independence Air","defunct","United States","IDE","INDEPENDENCE AIR"
"Independent Air Freighters","","Australia","IDP","INDEPENDENT"
"IndiGo Airlines","Interglobe Aviation","India","IGO","IFLY"
"India International Airways","","India","IIL","INDIA INTER"
"Indian Air Force","","India","IFC","INDIAN AIRFORCE"
"Indian Airlines","","India","IAC","INDAIR"
"Indicator Company","","Hungary","IDR","INDICATOR"
"Indigo","","United States","IBU","INDIGO BLUE"
"Indonesia Air Transport","","Indonesia","IDA","INTRA"
"Indonesia AirAsia","","Indonesia","AWQ","WAGON AIR"
"Indonesian Airlines","","Indonesia","IAA","INDO LINES"
"Industri Pesawat Terbang Nusantara","","Indonesia","IPN","NUSANTARA"
"Industrias Titan","","Spain","ITN","TITANLUX"
"Infinit Air","","Spain","FFI","INFINIT"
"Inflite The Jet Centre","","United Kingdom","INS",""
"Innotech Aviation","","Canada","IVA","INNOTECH"
"Insel Air International","","Netherlands Antilles","INC","INSELAIR"
"Instituto Cartografico de Cataluna","","Spain","ICC","CARTO"
"Intair","","Canada","INT","INTAIRCO"
"Intal Avia","","Kyrgyzstan","INL","INTAL AVIA"
"Intavia Limited","","United Kingdom","FFL",""
"Intensive Air","","South Africa","XRA","INTENSIVE"
"Inter Air","","Bulgaria","ITW","INTER WINGS"
"Inter Express","","Turkey","INX","INTER-EURO"
"Inter Island Airways","","Cape Verde","IIN",""
"Inter RCA","","Central African Republic","CAR","QUEBEC ROMEO"
"Inter Tropic Airlines","","Sierra Leone","NTT","INTER-TROPIC"
"Inter-Air","","United States","ITA","CAFEX"
"Inter-Canadian","","Canada","ICN","INTER-CANADIAN"
"Inter-Island Air","","United States","UGL","UGLY VAN"
"Inter-Mountain Airways","","United States","IMA","INTER-MOUNTAIN"
"Inter-State Aviation","","United States","ITS","INTER-STATE"
"Interair South Africa","","South Africa","ILN","INLINE"
"Interaire","","Mexico","NTE","INTERMEX"
"Interavia Airlines","","Russia","SUW","ASTAIR"
"Interaviatrans","","Ukraine","IVT","INTERAVIA"
"Intercontinental de Aviación","","Colombia","ICT","CONTAVIA"
"Intercopters","","Spain","ICP","CHOPER"
"Interflight","","United Kingdom","IFT","INTERFLIGHT"
"Interflight (Learjet)","","United Kingdom","IJT",""
"Interfly","","Italy","RFL","INFLY"
"Interfreight Forwarding","","Sudan","IFF","INTERFREIGHT"
"Interguide Air","","Nigeria","IGN","DIVINE AIR"
"Interisland Airlines","","Philippines","ISN","TRI-BIRD"
"Interisland Airways Limited","Name changed to Air Turks and Caicos","Turks and Caicos Islands","IWY","ISLANDWAYS"
"Interjet","","Italy","MTF","INTERJET"
"Interjet Helicopters","","Greece","IHE","INTERCOPTER"
"Interlink Airlines","","South Africa","ITK","INTERLINK"
"International Air Cargo Corporation","","Egypt","IAK","AIR CARGO EGYPT"
"International Air Corporation","","United States","EXX","EXPRESS INTERNATIONAL"
"International Air Service","","United States","IAS","STARFLEET"
"International Air Services","","Liberia","IAX","INTERAIR SERVICES"
"International Business Air","was U5","Sweden","IBZ","INTERBIZ"
"International Business Aircraft","","United States","IBY","CENTRAL STAGE"
"International Charter Services","","Mexico","ICS","INTERSERVI"
"International Charter Xpress","Defunct 1994","United States","ICX","INTEX"
"International Committee of the Red Cross","","Switzerland","RED","RED CROSS"
"International Company for Transport, Trade and Public Works","","Libya","IIG","ALDAWLYH AIR"
"International Flight Training Academy","","United States","IFX","IFTA"
"International Jet Aviation Services","","United States","IJA","I-JET"
"International Jet Charter","The Flying Hospital","United States","HSP","HOSPITAL"
"International SOS WIndhoek","","Namibia","RSQ","SKYMEDIC"
"International Stabilisation Assistance Force","","United Kingdom","ISF",""
"International Security Assistance Force","","Canada","THN","ATHENA"
"International Trans-Air","","Nigeria","ITH","INTRANS NIGERIA"
"Interport Corporation","","United States","IPT","INTERPORT"
"Intersky Bulgary","","Bulgaria","IKY","GENERAL SKY"
"Intersky","","Austria","ISK","INTERSKY"
"Interstate Airlines","","Netherlands","FWA","FREEWAYAIR"
"Intervuelos","","Mexico","ITU","INTERLOS"
"Inversija","","Latvia","INV","INVER"
"Iona National Airways","","Ireland","IND","IONA"
"Iowa Airways","","United States","IOA","IOWA AIR"
"Iran Air","Was B9","Iran","IRA","IRANAIR"
"Iran Aseman Airlines","","Iran","IRC","ASEMAN"
"Iranair Tours","","Iran","IRB",""
"Iranian Naft Airlines","","Iran","IRG","NAFT"
"Iraqi Airways","","Iraq","IAW","IRAQI"
"Irbis Air","","Kazakhstan","BIS","IRBIS"
"Irish Air Corps","","Ireland","IRL","IRISH"
"Irish Air Transport","","Ireland","RDK","IRISH TRANS"
"Irish Aviation Authority","","Ireland","XMR","AUTHORITY"
"Irtysh Air","Old IATA code: IT; old ICAO code: IRT","Kazakhstan","MZA","IRTYSH AIRLINES"
"Irving Oil","","Canada","KCE","KACEY"
"Island Air","","Mexico","ISI","ISLANDMEX"
"Island Air Charters","","United States","ILF","ISLAND FLIGHT"
"Island Air Express","","United States","XYZ","RAINBIRD"
"Island Airlines","","United States","ISA",""
"Island Aviation","","Philippines","SOY","SORIANO"
"Island Aviation Services","","Maldives","DQA",""
"Island Aviation and Travel","","United Kingdom","IOM","ISLE AVIA"
"Island Express","","United States","SDY","SANDY ISLE"
"Island Helicopters","","United States","MTP","METROCOPTER"
"ILAS Air","","Japan","ILC",""
"Islandair Jersey","","United Kingdom","IAJ","JARLAND"
"Islands Nationair","","Papua New Guinea","",""
"Icebird Airline","","Iceland","ICB","ICEBIRD"
"Islas Airways","","Spain","ISW","PINTADERA"
"Isle Grande Flying School","","United States","IGS","ISLA GRANDE"
"Islena De Inversiones","","Honduras","ISV",""
"Isles of Scilly Skybus","","United Kingdom","IOS","SCILLONIA"
"Israel Aircraft Industries","","Israel","IAI","ISRAEL AIRCRAFT"
"Israeli Air Force","","Israel","IAF",""
"Israir","","Israel","ISR","ISRAIR"
"Istanbul Airlines","","Turkey","IST","ISTANBUL"
"Itali Airlines","Former name: Transporti Aerei Italiani; former IATA Code: 9X*; former ICAO code: ACO","Italy","ACL","SPADA"
"Italy First","","Italy","IFS","RIVIERA"
"Itek Air","?ICAO confirmed; IATA not","Kyrgyzstan","IKA","ITEK-AIR"
"Ivoire Aero Services","","Ivory Coast","IVS","IVOIRE AERO"
"Ivoire Airways","","Ivory Coast","IVW","IVOIRAIRWAYS"
"Ivoire Jet Express","","Ivory Coast","IJE","IVOIRE JET"
"Iwamoto Crane Co Ltd","","Japan","OIC",""
"Ixair","","France","IXR","X-BIRD"
"Izair","","Turkey","IZM","IZMIR"
"Izhavia","","Russia","IZA","IZHAVIA"
"Iceland Express","Ceased operations 2012","Iceland","",""
"Imperial Cargo Airlines","","Ghana","IMG","IMPERIAL AIRLINES"
"Jet Time","2014","Finland","JTF","JETFIN"
"Jet Test International","","United States","JTN","JET TEST"
"Jinggong Jet","2014","China","JGJ","GLOBAL JINGGONG"
"Journey Aviation","2014","United States","JNY","UNIJET-ROCKBAND"
"Justice Air Charter","Trading name for Reliant Aviation, allocated in 2014","United States","JKR","JOKER"
"Jayawijaya Dirgantara","","Indonesia","JWD",""
"Jet-stream","","Hungary","JSH","STREAM AIR"
"J C Bamford (Excavators)","","United Kingdom","JCB","JAYSEEBEE"
"J P Hunt Air Carriers","J P Hunt Air Carriers","United States","RFX","REFLEX"
"J-Air","","Japan","","J AIR"
"JAL Express","","Japan","JEX","JANEX"
"JALways","","Japan","JAZ","JALWAYS"
"JDAviation","","United Kingdom","JDA","JAY DEE"
"JDP Lux","","Luxembourg","JDP","RED PELICAN"
"JHM Cargo Expreso","","Costa Rica","JHM",""
"JM Family Aviation","","United States","TQM","TACOMA"
"JMC Airlines","","United Kingdom","JMC","JAYEMMSEE"
"JSC Transport Automated Information Systems","","Russia","",""
"JS Air","","Pakistan","JSJ","JS CHARTER"
"JS Aviation","","Mexico","JES","JAY-ESS AVIATION"
"Jackson Air Services","","Canada","JCK","JACKSON"
"Jade Cargo International","","China","JAE","JADE CARGO"
"Jamahiriya Airways","","Libya","JAW","JAW"
"Jambo Africa Airlines","","Democratic Republic of Congo","JMB","JAMBOAFRICA"
"Janet","de facto name","United States","WWW","JANET"
"Jet Sky Cargo and Air Charter","","Kenya","FJX",""
"Jana-Arka","","Kazakhstan","JAK","YANZAR"
"Janair","","United States","JAX","JANAIR"
"Japan Air Commuter","","Japan","JAC","COMMUTER"
"Japan Aircraft Service","","Japan","JSV",""
"Japan Airlines","Japan Airlines International","Japan","JAL","JAPANAIR"
"Japan Airlines Domestic","defunct","Japan","JAL","J-BIRD"
"Japan Asia Airways","defunct","Japan","JAA","ASIA"
"Japan Transocean Air","","Japan","JTA","JAI OCEAN"
"Jat Airways","Name changed to Air Serbia","Serbia","JAT","JAT"
"Jatayu Airlines","","Indonesia","JTY","JATAYU"
"Jazeera Airways","","Kuwait","JZR","JAZEERA"
"Jeju Air","","Republic of Korea","JJA","JEJU AIR"
"Jenney Beechcraft","","United States","JNY","JENAIR"
"Jeppesen Data Plan","","United States","XLD",""
"Jeppesen UK","","United Kingdom","JPN","JETPLAN"
"Jet Air","","Poland","JEA","JETA"
"Jet Air Group","JSC","Russia","JSI","SISTEMA"
"Jet Airways","","India","JAI","JET AIRWAYS"
"Jet Airways","","United States","",""
"Jet Aspen Air Lines","","United States","JTX","JET ASPEN"
"Jet Aviation","","Switzerland","PJS","JETAVIATION"
"Jet Aviation Business Jets","","United States","BZF","BIZFLEET"
"Jet Center Flight Training","","Spain","JCF","JET CENTER"
"Jet Charter","","United States","JCT","JET CHARTER"
"Jet Connection","defunct","Germany","JCX","JET CONNECT"
"Jet Courier Service","","United States","DWW","DON JUAN"
"Jet East International","","United States","JED","JET EAST"
"Jet Executive International Charter","","Germany","JEI","JET EXECUTIVE"
"Jet Fighter Flights","","Australia","RZA","RAZOR"
"Jet Freighters","","United States","CFT","CASPER FREIGHT"
"Jet G&D Aviation","","Israel","JGD","JET GEE-AND-DEE"
"Jet Line International","","Moldova","MJL","MOLDJET"
"Jet Link","","Israel","JEK","JET OPS"
"Jet Link Aviation","","United States","HTL","HEARTLAND"
"Jet Norte","","Mexico","JNR","JET NORTE"
"Jet Rent","","Mexico","JRN","JET RENT"
"Jet Service","","Poland","JDI","JEDI"
"Jetstar Asia Airways","","Singapore","JSA","JETSTAR ASIA"
"Jet Stream","","Moldova","JSM","JET STREAM"
"Jet Trans Aviation","","Ghana","JTC","JETRANS"
"Jet-2000","","Russia","JTT","MOSCOW JET"
"Jet-Ops","","United Arab Emirates","OPS","OPS-JET"
"Jet2.com","","United Kingdom","EXS","CHANNEX"
"Jet4You","","Morocco","JFU","ARGAN"
"JetAfrica Swaziland","","Swaziland","OSW","BEVO"
"JetBlue Airways","","United States","JBU","JETBLUE"
"JetMagic","Defunct","Ireland","JMG","JET MAGIC"
"Jetmagic","Defunct, Not Many Flights","Malta","JMK",""
"Jet Asia Airways","","Thailand","JAA","JET ASIA"
"Jetairfly","","Belgium","JAF","BEAUTY"
"Jetall Holdings","","Canada","JTL","FIREFLY"
"Jetalliance","","Austria","JAG","JETALLIANCE"
"Jetclub","","Switzerland","JCS","JETCLUB"
"Jetconnect","","New Zealand","QNZ","QANTAS JETCONNECT"
"Jetcorp","(United Executive Jet)","United States","UEJ","JETCORP"
"Jetcraft Aviation","","Australia","JCC","JETCRAFT"
"Jetex Aviation","","Lebanon","JXA",""
"Jetflite","","Finland","JEF","JETFLITE"
"Jetfly Airlines","","Austria","JFL","LINEFLYER"
"Jetgo International","","Thailand","JIC","JIC-JET"
"Jetlink Express","","Kenya","JLX","KEN JET"
"Jetlink Holland","","Netherlands","JLH",""
"Jetnova de Aviación Ejecutiva","","Spain","JNV","JETNOVA"
"Jetpro","","Mexico","JPO","JETPRO"
"Jetran Air","","Romania","MDJ","JETRAN AIR"
"Jetrider International","","United Kingdom","JRI","JETRIDER"
"Jets Ejecutivos","","Mexico","JEJ","MEXJETS"
"Jets Personales","","Spain","JEP","JET PERSONALES"
"Jets Y Servicios Ejecutivos","","Mexico","JSE","SERVIJETS"
"JetsGo","defunct","Canada","JGO","JETSGO"
"Jetstar Airways","","Australia","JST","JETSTAR"
"JetStar Japan","","Japan","",""
"Jetstar Hong Kong Airways","","China","JKT","KAITAK"
"Jetstream Air","","Hungary","JSH","STREAM-AIR"
"Jetstream Executive Travel","","United Kingdom","JXT","VANNIN"
"JetSuite","","United States","RSP","REDSTRIPE"
"Jett Paqueteria","","Mexico","JPQ","JETT PAQUETERIA"
"Jett8 Airlines Cargo","","Singapore","JEC",""
"Jettime","","Denmark","JTG","JETTIME"
"Jettrain Corporation","","United States","JTN","JETTRAIN"
"Jetways of Iowa","","United States","JWY","JETWAYS"
"JetX Airlines","","Iceland","JXX","JETBIRD"
"Jibair","","Djibouti","JIB","JIBAIRLINE"
"Jigsaw Project","Bristow Helicopters","United Kingdom","JSW","JIGSAW"
"Jim Hankins Air Service","","United States","HKN","HANKINS"
"Jim Ratliff Air Service","","United States","RAS","SHANHIL"
"Joanas Avialinijos","","Lithuania","JDG","LADYBLUE"
"Job Air","","Czech Republic","JBR","JOBAIR"
"Johnson Air","","United States","JHN","AIR JOHNSON"
"Johnsons Air","","Ghana","JON","JOHNSONSAIR"
"Johnston Airways","","United States","JMJ","JOHNSTON"
"Joint Military Commission","","Sudan","JMM","JOICOMAR"
"Jomartaxi Aereo","","Mexico","JMT","JOMARTAXI"
"Jonsson, H Air Taxi","","Iceland","ODI","ODINN"
"Jordan Aviation","","Jordan","JAV","JORDAN AVIATION"
"Jordan International Air Cargo","","Jordan","JCI",""
"Jorvik","","Iceland","JVK","ISLANDIC"
"Jota Aviation","","United Kingdom","ENZ","ENZO"
"Journey Jet","","Thailand","JNJ","JOURNEY JET"
"Ju-Air","","Switzerland","JUR","JUNKERS"
"Juanda Flying School","","Indonesia","JFS","JAEMCO"
"Juba Cargo Services & Aviation Company","","Sudan","JUC","JUBA CARGO"
"Jubba Airways","","Somalia","JUB","JUBBA"
"Jubilee Airways","","United Kingdom","DKE","DUKE"
"Juneyao Airlines","","China","DKH","JUNEYAO AIRLINES"
"Justair Scandinavia","","Sweden","MEY","MELODY"
"Justice Prisoner and Alien Transportation System","","United States","DOJ","JUSTICE"
"Kharkiv Airlines","","Ukraine","KHK","SUNRAY"
"Kyrgyz Airlines","","Kyrgyzstan","KGZ","BERMET"
"K D Air Corporation","","Canada","KDC","KAY DEE"
"K S Avia","","Latvia","KSA","SKY CAMEL"
"K-Mile Air","","Thailand","KMI","KAY-MILE AIR"
"Kalstar Aviation","","Indonesia","KLS","KALSTAR"
"KD Avia","","Russia","KNI","KALININGRAD AIR"
"KLM Cityhopper","","Netherlands","KLC","KLM"
"KLM Helicopter","","Netherlands","KLH","KLM HELI"
"KLM","","Netherlands","KLM","KLM"
"Kabo Air","","Nigeria","QNK","KABO"
"Kahama Mining Corporation","","Tanzania","KMC","KAHAMA"
"Kaiser Air","","United States","KAI","KAISER"
"Kalitta Air","Operates 747-200's & -400's","United States","CKS","CONNIE"
"Kalitta Charters","Operates Lear 20's & 30's, Falcon 20's, & King Airs","United States","KFS","KALITTA"
"Kalitta Charters II","Operates B727-200's & DC9's","United States","KFS","KALITTA"
"Kallat El Saker Air Company","","Libya","KES","KALLAT EL SKER"
"Kam Air","","Afghanistan","KMF","KAMGAR"
"Kampuchea Airlines","IATA was KT","Cambodia","KMP","KAMPUCHEA"
"Kanaf-Arkia Airlines","","Israel","KIZ",""
"Kanfey Ha'emek Aviation","","Israel","KHE","KANFEY HAEMEK"
"Kansas State University","","United States","KSU","K-STATE"
"Karat","","Russia","AKT","AVIAKARAT"
"Karibu Airways Company","","Tanzania","KRB","KARIBU AIR"
"Karlog Air Charter","defunct","Denmark","KLG","KARLOG"
"Karthago Airlines","","Tunisia","KAJ","KARTHAGO"
"Kartika Airlines","","Indonesia","KAE","KARTIKA"
"Kata Transportation","","Sudan","KTV","KATAVIA"
"Katekavia","","Russia","KTK","KATEKAVIA"
"Kato Airline","","Norway","KAT","KATO-AIR"
"Kavminvodyavia","","Russia","MVD","AIR MINVODY"
"Kavouras Inc","","United States","XKA",""
"Kaz Agros Avia","","Kazakhstan","KRN","ANTOL"
"Kaz Air West","","Kazakhstan","KAW","KAZWEST"
"Kazan Aviation Production Association","","Russia","KAO","KAZAVAIA"
"Kazan Helicopters","","Russia","KPH","KAMA"
"Kazavia","","Kazakhstan","KKA","KAKAIR"
"Kazaviaspas","","Kazakhstan","KZS","SPAKAZ"
"Keenair Charter -","","United Kingdom","JFK","KEENAIR"
"Kelix Air","","Nigeria","KLX","KELIX"
"Kelner Airways","","Canada","FKL","KELNER"
"Kelowna Flightcraft Air Charter","","Canada","KFA","FLIGHTCRAFT"
"Kendell Airlines","defunct","Australia","KDA","KENDELL"
"Kenmore Air","","United States","KEN","KENMORE"
"Kenn Borek Air","","Canada","KBA","BOREK AIR"
"Kent Aviation","","Canada","KAH","DEKAIR"
"Kenya Airways","","Kenya","KQA","KENYA"
"Kevis","","Kazakhstan","KVS","KEVIS"
"Key Airlines","","United States","KEY","KEY AIR"
"Key Lime Air","","United States","LYM","KEY LIME"
"Keystone Aerial Surveys","","United States","FTP","FOOTPRINT"
"Keystone Air Service","","Canada","KEE","KEYSTONE"
"Khalifa Airways","","Algeria","KZW","KHALIFA AIR"
"Kharkov Aircraft Manufacturing Company","","Ukraine","WKH","WEST-KHARKOV"
"Khazar","","Turkmenistan","KHR","KHAZAR"
"Khoezestan Photros Air Lines","","Iran","KHP","PHOTROS AIR"
"Khoriv-Avia","","Ukraine","KRV","KHORIV-AVIA"
"Khors Aircompany","","Ukraine","KHO","AIRCOMPANY KHORS"
"Khyber Afghan Airlines","","Afghanistan","KHY","KHYBER"
